Age,Status,Floor,Price,Room,Address,NetArea,Date,GrossArea,propertyid
,For sale ,Low level,HK$ 8.50M ,2,--,525,2017.01.31,678,311607
,For sale ,High level,HK$ 4.62M ,1,NO.38 HOI AN STREET,267,2017.03.12,423,327226
13,For sale ,High level,HK$ 8.00M ,2,NO.8 SHAM SHING ROAD,510,2017.03.14,680,328048
1970,For sale ,,HK$ 2.68M ,,--,286,2017.03.14,,325644
21,For sale ,High level,HK$ 4.18M ,2,NO.18 CASTLE PEAK ROAD TSING LUNG TAU,435,2017.03.14,574,323689
31,For sale ,Low level,HK$ 2.98M ,2,NO.3 FUNG YAU STREET SOUTH,358,2017.01.13,510,328044
,For sale ,High level,HK$ 6.70M ,,市地段 504 號,475,2017.03.12,,327375
,For sale ,,HK$ 0.98M ,,長沙灣道226-242號,,2017.02.28,60,322456
,For sale ,,HK$ 1.78M ,,葵發路2/12 號,,2017.01.10,300,326807
18,For sale ,High level,HK$ 23.80M ,3,NO.3 LUNG POON STREET,1271,2017.01.05,,325120
,For sale ,High level,HK$ 4.05M ,2,NO.200 TAI TAM ROAD,379,2017.03.12,474,327225
,For sale ,Mid level,HK$ 4.50M ,,91 Parkes St,231,2017.01.31,340,311595
15,For sale,High level,HK$ 15.50M ,3,8 LARUNA VERDE AVENUE,1110,2017.02.26,1392,321262
30,For sale ,,HK$ 3.80M ,1,NO.100 CASTLE PEAK ROAD,364,2017.03.14,552,325643
,For sale ,,HK$ 14.00M ,4,--,2100,2017.03.13,2800,327976
,For sale ,,HK$ 3.30M HKD,3,--,574,2016.12.28,,319368
27,For sale ,,HK$ 5.40M ,3,NOS.41-63 CASTLE PEAK ROAD SHAM TSENG,617,2017.03.14,763,325645
,For sale ,Mid level,HK$ 8.20M ,1,NO.12 YING WA TERRACE,466,2017.01.31,728,311604
,For sale ,High level,HK$ 6.90M ,2,--,473,2017.01.31,583,311613
15,For sale ,Low level,HK$ 4.85M ,2,33 YUEN LONG KAU HUI ROAD,459,2017.03.14,609,328056
,For sale ,High level,HK$ 20.00M ,3,--,1150,2017.03.12,1380,327229
13,For sale ,High level,HK$ 8.00M ,2,NO.80 KO SHING STREET,469,2017.03.14,640,328047
27,For sale ,,HK$ 5.80M ,4,NOS.41-63 CASTLE PEAK ROAD SHAM TSENG,657,2017.02.22,800,323690
14,For sale ,,HK$ 7.20M ,3,NO.9 TSING FAT LANE,745,2017.03.07,959,323685
,For sale ,,HK$ 2.99M ,,--,295,2017.01.13,,328043
39,For sale ,Low level,HK$ 4.35M ,2,NO.55 NGAU TAU KOK ROAD,433,2017.03.12,513,327374
32,For sale ,Mid level,HK$ 2.88M ,2,NOS.240 & 242 APLIU STREET,259,2017.02.28,,322458
32,For sale ,,HK$ 1.25M ,,NOS.20-30 TAI CHUNG KIU ROAD,There is no saleable area information.,2017.02.28,,322450
30,For sale ,Mid level,HK$ 2.58M ,1,--,There is no saleable area information.,2017.01.10,260,326808
11,For sale ,,HK$ 4.32M ,,NO.8 FUK HANG TSUEN ROAD,586,2017.03.11,767,326806
27,For sale ,Mid level,HK$ 6.70M ,3,2-12 YI HONG STREET,576,2017.03.06,696,325121
27,For sale ,High level,HK$ 5.90M ,3,2-12 YI HONG STREET,596,2017.03.06,718,325118
,For sale ,High level,HK$ 14.80M ,2,--,890,2017.03.12,1135,327224
,For sale ,High level,HK$ 150.00M ,4,--,2669,2017.01.31,3393,311598
,For sale,,HK$ 4.60M ,,--,640,2017.01.31,,311584
8,For sale For rent ,High level,HK$ 25.00M ,5,NO.1 YUK TAI STREET,1785,2017.02.24,2392,321263
,For sale For rent ,,HK$ 23.00M ,,No.83 Tuen Mun Heung Sze Wui Road,991,2017.02.24,,321259
19,For sale ,Mid level,HK$ 9.30M ,3,NO.8 LUNG TANG ROAD TSING LUNG TAU,1056,2017.01.13,1282,325641
,For sale ,High level,HK$ 5.00M ,2,--,500,2017.03.13,,327979
,For sale ,High level,HK$ 2.16M ,1,--,,2017.01.12,380,327974
,For sale ,Ground Floor,HK$ 26.80M ,,85 Dundas Street,,2017.02.20,900,319369
19,For sale ,High level,HK$ 3.74M ,2,--,260,2017.02.19,368,319363
37,For sale ,Low level,HK$ 3.00M ,1,NO.170 CASTLE PEAK ROAD,306,2017.03.14,,328057
24,For sale ,Mid level,HK$ 5.80M ,3,NO.38 CASTLE PEAK ROAD SHAM TSENG,710,2017.02.22,859,325646
,For sale ,High level,HK$ 4.80M ,3,NO.11 TSING LUNG ROAD,694,2017.01.31,938,311638
14,For sale ,,HK$ 18.00M ,4,NO.9 TSING FAT LANE,1653,2017.03.11,2173,323692
46,For sale ,Mid level,HK$ 7.80M ,3,NOS.22/36 PATERSON STREET,563,2017.03.03,702,323683
,For sale ,Mid level,HK$ 4.40M ,2,No.11 Shap Pat Heung Road,355,2017.03.14,,328041
